MES;Reservas embalses anuales (GWh);Reservas embalses hiperanuales (GWh)
ene-15;5.595;6.293
feb-15;5.942;6.679
mar-15;6.160;6.758
abr-15;6.303;6.901
may-15;6.224;6.663
jun-15;5.691;6.227
jul-15;4.758;5.691
ago-15;4.154;5.316
sep-15;3.736;5.019
oct-15;3.714;4.909
nov-15;3.936;4.809
dic-15;3.837;4.807
ene-16;5.689;5.538
feb-16;6.078;5.988
mar-16;6.134;6.172
abr-16;6.841;6.339
may-16;7.105;6.472
jun-16;6.557;6.194
jul-16;5.609;5.791
ago-16;4.545;5.182
sep-16;3.765;4.778
oct-16;3.148;4.491
nov-16;3.472;4.266
dic-16;3.429;3.843
ene-17;2.990;3.363
feb-17;4.613;3.588
mar-17;4.751;3.421
abr-17;4.709;3.294
may-17;4.931;3.137
jun-17;4.572;2.932
jul-17;4.017;2.852
ago-17;3.325;2.712
sep-17;2.576;2.560
oct-17;2.320;2.388
nov-17;2.222;2.182
dic-17;2.617;2.267
ene-18;3.213;2.185
feb-18;3.478;2.138
mar-18;5.968;3.731
abr-18;7.076;4.822
may-18;7.092;5.004
jun-18;6.923;4.954
jul-18;5.726;4.521
ago-18;5.172;4.143
sep-18;4.492;3.701
