datetime;mes_ano;MES;Reservas embalses anuales (GWh);Reservas embalses hiperanuales (GWh)
2015-10-01;10-15;oct-15;3.714;4.909
2015-10-02;10-15;oct-15;3.714;4.909
2015-10-03;10-15;oct-15;3.714;4.909
2015-10-04;10-15;oct-15;3.714;4.909
2015-10-05;10-15;oct-15;3.714;4.909
2015-10-06;10-15;oct-15;3.714;4.909
2015-10-07;10-15;oct-15;3.714;4.909
2015-10-08;10-15;oct-15;3.714;4.909
2015-10-09;10-15;oct-15;3.714;4.909
2015-10-10;10-15;oct-15;3.714;4.909
2015-10-11;10-15;oct-15;3.714;4.909
2015-10-12;10-15;oct-15;3.714;4.909
2015-10-13;10-15;oct-15;3.714;4.909
2015-10-14;10-15;oct-15;3.714;4.909
2015-10-15;10-15;oct-15;3.714;4.909
2015-10-16;10-15;oct-15;3.714;4.909
2015-10-17;10-15;oct-15;3.714;4.909
2015-10-18;10-15;oct-15;3.714;4.909
2015-10-19;10-15;oct-15;3.714;4.909
2015-10-20;10-15;oct-15;3.714;4.909
2015-10-21;10-15;oct-15;3.714;4.909
2015-10-22;10-15;oct-15;3.714;4.909
2015-10-23;10-15;oct-15;3.714;4.909
2015-10-24;10-15;oct-15;3.714;4.909
2015-10-25;10-15;oct-15;3.714;4.909
2015-10-26;10-15;oct-15;3.714;4.909
2015-10-27;10-15;oct-15;3.714;4.909
2015-10-28;10-15;oct-15;3.714;4.909
2015-10-29;10-15;oct-15;3.714;4.909
2015-10-30;10-15;oct-15;3.714;4.909
2015-10-31;10-15;oct-15;3.714;4.909
2015-11-01;11-15;nov-15;3.9360000000000004;4.809
2015-11-02;11-15;nov-15;3.9360000000000004;4.809
2015-11-03;11-15;nov-15;3.9360000000000004;4.809
2015-11-04;11-15;nov-15;3.9360000000000004;4.809
2015-11-05;11-15;nov-15;3.9360000000000004;4.809
2015-11-06;11-15;nov-15;3.9360000000000004;4.809
2015-11-07;11-15;nov-15;3.9360000000000004;4.809
2015-11-08;11-15;nov-15;3.9360000000000004;4.809
2015-11-09;11-15;nov-15;3.9360000000000004;4.809
2015-11-10;11-15;nov-15;3.9360000000000004;4.809
2015-11-11;11-15;nov-15;3.9360000000000004;4.809
2015-11-12;11-15;nov-15;3.9360000000000004;4.809
2015-11-13;11-15;nov-15;3.9360000000000004;4.809
2015-11-14;11-15;nov-15;3.9360000000000004;4.809
2015-11-15;11-15;nov-15;3.9360000000000004;4.809
2015-11-16;11-15;nov-15;3.9360000000000004;4.809
2015-11-17;11-15;nov-15;3.9360000000000004;4.809
2015-11-18;11-15;nov-15;3.9360000000000004;4.809
2015-11-19;11-15;nov-15;3.9360000000000004;4.809
2015-11-20;11-15;nov-15;3.9360000000000004;4.809
2015-11-21;11-15;nov-15;3.9360000000000004;4.809
2015-11-22;11-15;nov-15;3.9360000000000004;4.809
2015-11-23;11-15;nov-15;3.9360000000000004;4.809
2015-11-24;11-15;nov-15;3.9360000000000004;4.809
2015-11-25;11-15;nov-15;3.9360000000000004;4.809
2015-11-26;11-15;nov-15;3.9360000000000004;4.809
2015-11-27;11-15;nov-15;3.9360000000000004;4.809
2015-11-28;11-15;nov-15;3.9360000000000004;4.809
2015-11-29;11-15;nov-15;3.9360000000000004;4.809
2015-11-30;11-15;nov-15;3.9360000000000004;4.809
2015-12-01;12-15;dic-15;3.8369999999999997;4.8069999999999995
2015-12-02;12-15;dic-15;3.8369999999999997;4.8069999999999995
2015-12-03;12-15;dic-15;3.8369999999999997;4.8069999999999995
2015-12-04;12-15;dic-15;3.8369999999999997;4.8069999999999995
2015-12-05;12-15;dic-15;3.8369999999999997;4.8069999999999995
2015-12-06;12-15;dic-15;3.8369999999999997;4.8069999999999995
2015-12-07;12-15;dic-15;3.8369999999999997;4.8069999999999995
2015-12-08;12-15;dic-15;3.8369999999999997;4.8069999999999995
2015-12-09;12-15;dic-15;3.8369999999999997;4.8069999999999995
2015-12-10;12-15;dic-15;3.8369999999999997;4.8069999999999995
2015-12-11;12-15;dic-15;3.8369999999999997;4.8069999999999995
2015-12-12;12-15;dic-15;3.8369999999999997;4.8069999999999995
2015-12-13;12-15;dic-15;3.8369999999999997;4.8069999999999995
2015-12-14;12-15;dic-15;3.8369999999999997;4.8069999999999995
2015-12-15;12-15;dic-15;3.8369999999999997;4.8069999999999995
2015-12-16;12-15;dic-15;3.8369999999999997;4.8069999999999995
2015-12-17;12-15;dic-15;3.8369999999999997;4.8069999999999995
2015-12-18;12-15;dic-15;3.8369999999999997;4.8069999999999995
2015-12-19;12-15;dic-15;3.8369999999999997;4.8069999999999995
2015-12-20;12-15;dic-15;3.8369999999999997;4.8069999999999995
2015-12-21;12-15;dic-15;3.8369999999999997;4.8069999999999995
2015-12-22;12-15;dic-15;3.8369999999999997;4.8069999999999995
2015-12-23;12-15;dic-15;3.8369999999999997;4.8069999999999995
2015-12-24;12-15;dic-15;3.8369999999999997;4.8069999999999995
2015-12-25;12-15;dic-15;3.8369999999999997;4.8069999999999995
2015-12-26;12-15;dic-15;3.8369999999999997;4.8069999999999995
2015-12-27;12-15;dic-15;3.8369999999999997;4.8069999999999995
2015-12-28;12-15;dic-15;3.8369999999999997;4.8069999999999995
2015-12-29;12-15;dic-15;3.8369999999999997;4.8069999999999995
2015-12-30;12-15;dic-15;3.8369999999999997;4.8069999999999995
2015-12-31;12-15;dic-15;3.8369999999999997;4.8069999999999995
2016-01-01;1-16;ene-16;5.689;5.537999999999999
2016-01-02;1-16;ene-16;5.689;5.537999999999999
2016-01-03;1-16;ene-16;5.689;5.537999999999999
2016-01-04;1-16;ene-16;5.689;5.537999999999999
2016-01-05;1-16;ene-16;5.689;5.537999999999999
2016-01-06;1-16;ene-16;5.689;5.537999999999999
2016-01-07;1-16;ene-16;5.689;5.537999999999999
2016-01-08;1-16;ene-16;5.689;5.537999999999999
2016-01-09;1-16;ene-16;5.689;5.537999999999999
2016-01-10;1-16;ene-16;5.689;5.537999999999999
2016-01-11;1-16;ene-16;5.689;5.537999999999999
2016-01-12;1-16;ene-16;5.689;5.537999999999999
2016-01-13;1-16;ene-16;5.689;5.537999999999999
2016-01-14;1-16;ene-16;5.689;5.537999999999999
2016-01-15;1-16;ene-16;5.689;5.537999999999999
2016-01-16;1-16;ene-16;5.689;5.537999999999999
2016-01-17;1-16;ene-16;5.689;5.537999999999999
2016-01-18;1-16;ene-16;5.689;5.537999999999999
2016-01-19;1-16;ene-16;5.689;5.537999999999999
2016-01-20;1-16;ene-16;5.689;5.537999999999999
2016-01-21;1-16;ene-16;5.689;5.537999999999999
2016-01-22;1-16;ene-16;5.689;5.537999999999999
2016-01-23;1-16;ene-16;5.689;5.537999999999999
2016-01-24;1-16;ene-16;5.689;5.537999999999999
2016-01-25;1-16;ene-16;5.689;5.537999999999999
2016-01-26;1-16;ene-16;5.689;5.537999999999999
2016-01-27;1-16;ene-16;5.689;5.537999999999999
2016-01-28;1-16;ene-16;5.689;5.537999999999999
2016-01-29;1-16;ene-16;5.689;5.537999999999999
2016-01-30;1-16;ene-16;5.689;5.537999999999999
2016-01-31;1-16;ene-16;5.689;5.537999999999999
2016-02-01;2-16;feb-16;6.077999999999999;5.9879999999999995
2016-02-02;2-16;feb-16;6.077999999999999;5.9879999999999995
2016-02-03;2-16;feb-16;6.077999999999999;5.9879999999999995
2016-02-04;2-16;feb-16;6.077999999999999;5.9879999999999995
2016-02-05;2-16;feb-16;6.077999999999999;5.9879999999999995
2016-02-06;2-16;feb-16;6.077999999999999;5.9879999999999995
2016-02-07;2-16;feb-16;6.077999999999999;5.9879999999999995
2016-02-08;2-16;feb-16;6.077999999999999;5.9879999999999995
