,FECHA,PERIODO,MES,WD,PRECIO_MD_ESP,ACOPLADO_FR,RESERVA_D-1,P48_EOLICA,P48_DEMANDA,POT_DISP_CARBON,P48_CARBON_D-1,NUM_PLANTAS_D-1,EMB_ANUALES,EMB_HIPERANUALES,RESERVA
0,2015-10-01,1,10,4,56.65,0,0,2196.1,24517.1,10060.7,7181.4,22,3714,4909,1
1,2015-10-01,2,10,4,53.5,0,0,2064.4,23168.6,10060.7,6771.7,22,3714,4909,0
2,2015-10-01,3,10,4,49.69,0,0,1866.5,22437.2,10060.7,6559.5,22,3714,4909,0
3,2015-10-01,4,10,4,49.1,0,0,1660.9,22281.3,10060.7,6560.4,23,3714,4909,0
4,2015-10-01,5,10,4,51.25,0,0,1373.9,21909.7,10060.7,6724.1,23,3714,4909,0
5,2015-10-01,6,10,4,53.6,0,0,1327.0,22183.9,10060.7,7174.6,23,3714,4909,0
6,2015-10-01,7,10,4,58.02,0,0,1347.4,24139.8,10060.7,7955.3,23,3714,4909,0
7,2015-10-01,8,10,4,63.03,0,0,1363.3,28141.4,10060.7,8281.3,23,3714,4909,1
8,2015-10-01,9,10,4,63.56,0,0,1364.5,29311.3,10060.7,8304.3,23,3714,4909,1
9,2015-10-01,10,10,4,64.66,0,0,1278.9,29899.4,10060.7,8263.3,23,3714,4909,1
10,2015-10-01,11,10,4,63.9,0,0,1162.9,30370.7,10060.7,8063.3,23,3714,4909,1
11,2015-10-01,12,10,4,61.9,0,0,1145.1,30767.9,10060.7,8274.3,23,3714,4909,0
12,2015-10-01,13,10,4,60.9,0,0,1402.0,31452.4,10060.7,7935.3,23,3714,4909,0
13,2015-10-01,14,10,4,59.8,0,1,1948.7,31464.0,10060.7,8037.3,23,3714,4909,0
14,2015-10-01,15,10,4,56.8,0,0,2593.9,30205.9,10060.7,8278.3,23,3714,4909,0
15,2015-10-01,16,10,4,53.6,0,0,3245.2,29999.4,10060.7,8259.7,23,3714,4909,0
16,2015-10-01,17,10,4,53.5,0,0,3658.4,29814.9,10060.7,8083.3,23,3714,4909,0
17,2015-10-01,18,10,4,54.9,0,0,3903.7,30029.1,9925.7,8237.3,23,3714,4909,0
18,2015-10-01,19,10,4,55.26,0,0,3966.8,29785.5,9635.699999999997,8297.3,23,3714,4909,0
19,2015-10-01,20,10,4,61.0,1,0,3928.2,30157.7,9770.699999999997,8347.0,23,3714,4909,0
20,2015-10-01,21,10,4,61.69,0,1,3792.4,32257.8,9770.7,8299.6,23,3714,4909,0
21,2015-10-01,22,10,4,61.0,0,1,3672.3,32103.4,9770.699999999997,8352.3,23,3714,4909,0
22,2015-10-01,23,10,4,56.8,0,0,3462.3,28472.9,9770.699999999997,8300.3,23,3714,4909,0
23,2015-10-01,24,10,4,53.0,0,0,3163.7,26178.8,9770.7,8265.3,23,3714,4909,0
24,2015-10-02,1,10,5,58.81,0,1,2861.0,24738.7,9770.699999999997,8203.3,23,3714,4909,1
25,2015-10-02,2,10,5,56.6,0,0,2541.5,23410.2,9770.699999999997,8286.8,23,3714,4909,1
26,2015-10-02,3,10,5,53.65,0,0,2379.2,22538.6,9770.699999999997,8301.3,23,3714,4909,1
27,2015-10-02,4,10,5,52.01,0,0,2245.4,22107.1,9770.699999999997,8281.3,23,3714,4909,1
28,2015-10-02,5,10,5,50.0,0,0,2264.2,22033.3,9770.7,8247.7,23,3714,4909,1
29,2015-10-02,6,10,5,53.65,0,0,2137.0,22467.8,9770.699999999997,8223.3,23,3714,4909,1
30,2015-10-02,7,10,5,57.6,0,0,1996.8,24101.5,9770.7,8014.0,23,3714,4909,1
31,2015-10-02,8,10,5,61.5,0,1,1764.8,27753.2,9770.7,8102.1,23,3714,4909,1
32,2015-10-02,9,10,5,62.86,0,1,1528.1,29567.7,9770.699999999997,8079.3,23,3714,4909,1
33,2015-10-02,10,10,5,64.85,0,1,1324.5,29771.7,9770.7,8282.3,23,3714,4909,1
34,2015-10-02,11,10,5,63.4,0,1,1211.9,31340.5,9770.699999999997,7825.3,23,3714,4909,1
35,2015-10-02,12,10,5,61.19,0,0,1172.5,31486.8,9770.699999999997,8121.9,23,3714,4909,1
36,2015-10-02,13,10,5,61.25,0,0,1535.7,31727.0,9770.7,8112.3,23,3714,4909,1
37,2015-10-02,14,10,5,60.01,0,0,2106.5,31317.7,9770.7,8326.1,23,3714,4909,1
38,2015-10-02,15,10,5,56.8,0,0,2801.3,30203.4,9770.699999999997,8191.3,23,3714,4909,1
39,2015-10-02,16,10,5,51.89,0,0,3547.9,29349.7,9770.7,8311.5,23,3714,4909,1
40,2015-10-02,17,10,5,48.0,0,0,4053.6,29566.9,9770.699999999997,8415.3,23,3714,4909,1
41,2015-10-02,18,10,5,51.89,0,0,4088.3,29358.0,9770.699999999997,8295.8,23,3714,4909,1
42,2015-10-02,19,10,5,55.97,0,0,3921.4,29182.0,9770.7,7339.6,23,3714,4909,1
43,2015-10-02,20,10,5,60.0,0,0,3632.7,29371.8,9770.699999999997,7220.3,22,3714,4909,1
