FECHA;PERIODO;MES;WD;PRECIO_MD_ESP;ACOPLADO_FR;RESERVA_D-1;P48_EOLICA;P48_DEMANDA;POT_DISP_CARBON;CARBON_D-1;EMB_ANUALES;EMB_HIPERANUALES;RESERVA
2015-10-01;1;10;4;56.65;0;0;2196.1;24517.1;10060.7;326.43;3714;4909;1
2015-10-01;2;10;4;53.5;0;0;2064.4;23168.6;10060.7;307.8;3714;4909;0
2015-10-01;3;10;4;49.69;0;0;1866.5;22437.2;10060.7;298.16;3714;4909;0
2015-10-01;4;10;4;49.1;0;0;1660.9;22281.3;10060.7;285.23;3714;4909;0
2015-10-01;5;10;4;51.25;0;0;1373.9;21909.7;10060.7;292.35;3714;4909;0
2015-10-01;6;10;4;53.6;0;0;1327.0;22183.9;10060.7;311.94;3714;4909;0
2015-10-01;7;10;4;58.02;0;0;1347.4;24139.8;10060.7;345.88;3714;4909;0
2015-10-01;8;10;4;63.03;0;0;1363.3;28141.4;10060.7;360.06;3714;4909;1
2015-10-01;9;10;4;63.56;0;0;1364.5;29311.3;10060.7;361.06;3714;4909;1
2015-10-01;10;10;4;64.66;0;0;1278.9;29899.4;10060.7;359.27;3714;4909;1
2015-10-01;11;10;4;63.9;0;0;1162.9;30370.7;10060.7;350.58;3714;4909;1
2015-10-01;12;10;4;61.9;0;0;1145.1;30767.9;10060.7;359.75;3714;4909;0
2015-10-01;13;10;4;60.9;0;0;1402.0;31452.4;10060.7;345.01;3714;4909;0
2015-10-01;14;10;4;59.8;0;1;1948.7;31464.0;10060.7;349.45;3714;4909;0
2015-10-01;15;10;4;56.8;0;0;2593.9;30205.9;10060.7;359.93;3714;4909;0
2015-10-01;16;10;4;53.6;0;0;3245.2;29999.4;10060.7;359.12;3714;4909;0
2015-10-01;17;10;4;53.5;0;0;3658.4;29814.9;10060.7;351.45;3714;4909;0
2015-10-01;18;10;4;54.9;0;0;3903.7;30029.1;9925.7;358.14;3714;4909;0
2015-10-01;19;10;4;55.26;0;0;3966.8;29785.5;9635.699999999997;360.75;3714;4909;0
2015-10-01;20;10;4;61.0;-1;0;3928.2;30157.7;9770.699999999997;362.91;3714;4909;0
2015-10-01;21;10;4;61.69;0;1;3792.4;32257.8;9770.699999999997;360.85;3714;4909;0
2015-10-01;22;10;4;61.0;0;1;3672.3;32103.4;9770.699999999997;363.14;3714;4909;0
2015-10-01;23;10;4;56.8;0;0;3462.3;28472.9;9770.699999999997;360.88;3714;4909;0
2015-10-01;24;10;4;53.0;0;0;3163.7;26178.8;9770.699999999997;359.36;3714;4909;0
2015-10-02;1;10;5;58.81;0;1;2861.0;24738.7;9770.699999999997;356.67;3714;4909;1
2015-10-02;2;10;5;56.6;0;0;2541.5;23410.2;9770.699999999997;360.3;3714;4909;1
2015-10-02;3;10;5;53.65;0;0;2379.2;22538.6;9770.699999999997;360.93;3714;4909;1
2015-10-02;4;10;5;52.01;0;0;2245.4;22107.1;9770.699999999997;360.06;3714;4909;1
2015-10-02;5;10;5;50.0;0;0;2264.2;22033.3;9770.699999999997;358.6;3714;4909;1
2015-10-02;6;10;5;53.65;0;0;2137.0;22467.8;9770.699999999997;357.53;3714;4909;1
2015-10-02;7;10;5;57.6;0;0;1996.8;24101.5;9770.699999999997;348.43;3714;4909;1
2015-10-02;8;10;5;61.5;0;1;1764.8;27753.2;9770.699999999997;352.27;3714;4909;1
2015-10-02;9;10;5;62.86;0;1;1528.1;29567.7;9770.699999999997;351.27;3714;4909;1
2015-10-02;10;10;5;64.85;0;1;1324.5;29771.7;9770.699999999997;360.1;3714;4909;1
2015-10-02;11;10;5;63.4;0;1;1211.9;31340.5;9770.699999999997;340.23;3714;4909;1
2015-10-02;12;10;5;61.19;0;0;1172.5;31486.8;9770.699999999997;353.13;3714;4909;1
2015-10-02;13;10;5;61.25;0;0;1535.7;31727.0;9770.699999999997;352.71;3714;4909;1
2015-10-02;14;10;5;60.01;0;0;2106.5;31317.7;9770.699999999997;362.0;3714;4909;1
2015-10-02;15;10;5;56.8;0;0;2801.3;30203.4;9770.699999999997;356.14;3714;4909;1
2015-10-02;16;10;5;51.89;0;0;3547.9;29349.7;9770.699999999997;361.37;3714;4909;1
2015-10-02;17;10;5;48.0;0;0;4053.6;29566.9;9770.699999999997;365.88;3714;4909;1
2015-10-02;18;10;5;51.89;0;0;4088.3;29358.0;9770.699999999997;360.69;3714;4909;1
2015-10-02;19;10;5;55.97;0;0;3921.4;29182.0;9770.699999999997;319.11;3714;4909;1
2015-10-02;20;10;5;60.0;0;0;3632.7;29371.8;9770.699999999997;328.2;3714;4909;1
2015-10-02;21;10;5;63.03;0;0;3385.9;31782.6;9770.699999999997;352.5;3714;4909;1
2015-10-02;22;10;5;62.69;0;0;3238.0;31392.7;9770.699999999997;361.27;3714;4909;1
2015-10-02;23;10;5;59.1;0;0;3196.4;28194.9;9770.699999999997;358.33;3714;4909;1
2015-10-02;24;10;5;55.42;0;0;3220.7;26093.7;9770.699999999997;359.97;3714;4909;1
2015-10-03;1;10;6;51.3;0;1;3260.8;24743.7;9770.699999999997;351.15;3714;4909;1
2015-10-03;2;10;6;48.77;0;1;3252.0;23342.9;9770.699999999997;339.51;3714;4909;0
2015-10-03;3;10;6;46.3;0;1;3280.0;22443.8;9770.699999999997;336.81;3714;4909;0
2015-10-03;4;10;6;45.5;0;1;3212.5;21625.5;9770.699999999997;327.36;3714;4909;0
2015-10-03;5;10;6;44.05;0;1;3028.5;21152.7;9770.699999999997;332.17;3714;4909;1
2015-10-03;6;10;6;44.3;0;1;2783.2;21238.7;9770.699999999997;338.71;3714;4909;1
2015-10-03;7;10;6;46.3;0;1;2516.4;21508.4;9770.699999999997;350.15;3714;4909;0
2015-10-03;8;10;6;47.0;0;1;2173.0;22501.1;9770.699999999997;355.72;3714;4909;0
2015-10-03;9;10;6;48.77;0;1;1947.1;23528.8;9770.699999999997;367.2;3714;4909;0
2015-10-03;10;10;6;58.1;0;1;1705.8;25679.6;9770.699999999997;368.6;3714;4909;1
2015-10-03;11;10;6;59.5;0;1;1608.3;27479.7;9770.699999999997;372.01;3714;4909;1
2015-10-03;12;10;6;56.8;0;1;1778.8;27947.7;9770.699999999997;366.13;3714;4909;1
2015-10-03;13;10;6;54.02;0;1;2160.7;28070.6;9770.699999999997;361.87;3714;4909;1
2015-10-03;14;10;6;52.1;0;1;2663.9;28216.3;9770.699999999997;355.29;3714;4909;1
2015-10-03;15;10;6;48.1;0;1;3089.2;27245.7;9770.699999999997;355.42;3714;4909;1
2015-10-03;16;10;6;43.58;0;1;3055.3;25828.4;9770.699999999997;353.83;3714;4909;1
2015-10-03;17;10;6;42.62;0;1;3041.3;25252.2;9770.699999999997;341.46;3714;4909;1
2015-10-03;18;10;6;44.32;0;1;2817.8;24698.0;9770.699999999997;344.16;3714;4909;1
2015-10-03;19;10;6;48.77;0;1;2468.6;25025.8;9770.699999999997;339.6;3714;4909;0
2015-10-03;20;10;6;55.48;0;1;2029.6;25557.2;9770.699999999997;348.4;3714;4909;1
2015-10-03;21;10;6;60.6;0;1;1834.3;28150.4;9770.699999999997;365.95;3714;4909;1
2015-10-03;22;10;6;60.01;0;1;1709.1;27990.0;9770.699999999997;373.33;3714;4909;1
2015-10-03;23;10;6;54.45;0;1;1925.4;25776.1;9770.699999999997;370.55;3714;4909;1
2015-10-03;24;10;6;48.77;0;1;2301.9;23855.4;9770.699999999997;364.47;3714;4909;0
2015-10-04;1;10;7;44.5;0;1;2731.3;22725.4;9770.7;350.15;3714;4909;0
2015-10-04;2;10;7;43.5;0;0;3077.7;21149.0;9770.699999999997;332.0;3714;4909;0
2015-10-04;3;10;7;40.0;0;0;3491.7;20358.6;9770.699999999997;341.24;3714;4909;0
2015-10-04;4;10;7;39.4;0;0;3936.2;19538.3;9770.699999999997;327.41;3714;4909;1
2015-10-04;5;10;7;37.0;0;1;4414.4;19372.0;9770.699999999997;299.48;3714;4909;1
2015-10-04;6;10;7;35.5;0;1;4976.4;19096.0;9770.699999999997;313.04;3714;4909;1
2015-10-04;7;10;7;34.5;0;0;5637.5;19488.6;9770.699999999997;323.26;3714;4909;1
2015-10-04;8;10;7;34.98;1;0;6245.9;20211.0;9770.699999999997;332.84;3714;4909;1
2015-10-04;9;10;7;36.5;1;0;6711.7;20118.0;9770.699999999997;337.24;3714;4909;1
2015-10-04;10;10;7;37.96;-1;1;7046.2;21571.5;9770.699999999997;372.56;3714;4909;1
2015-10-04;11;10;7;39.15;1;1;7430.3;23775.0;9770.699999999997;381.94;3714;4909;1
2015-10-04;12;10;7;38.66;-1;1;8797.0;24723.2;9770.699999999997;380.4;3714;4909;1
2015-10-04;13;10;7;38.0;-1;1;9828.0;24844.1;9770.699999999997;378.15;3714;4909;1
2015-10-04;14;10;7;35.0;1;1;10838.2;25585.5;9770.699999999997;378.42;3714;4909;1
2015-10-04;15;10;7;29.41;1;1;11580.4;25558.3;9770.699999999997;369.21;3714;4909;1
2015-10-04;16;10;7;27.09;-1;1;12084.9;24167.2;9770.699999999997;350.26;3714;4909;1
2015-10-04;17;10;7;25.44;-1;1;12272.6;23118.7;9770.699999999997;350.22;3714;4909;1
2015-10-04;18;10;7;26.6;0;1;12310.9;23016.0;9770.699999999997;358.5;3714;4909;1
2015-10-04;19;10;7;34.5;0;0;11793.4;23057.0;9770.7;373.28;3714;4909;1
2015-10-04;20;10;7;40.0;0;1;11186.5;24187.0;10070.399999999998;373.34;3714;4909;1
2015-10-04;21;10;7;50.75;1;1;10583.9;27367.4;10070.399999999998;374.98;3714;4909;1
2015-10-04;22;10;7;54.07;0;1;10349.1;28173.7;10070.399999999998;383.02;3714;4909;1
2015-10-04;23;10;7;43.0;1;1;10235.8;26286.1;10070.399999999998;378.72;3714;4909;1
2015-10-04;24;10;7;37.85;-1;0;10472.8;25035.6;10070.399999999998;354.32;3714;4909;1
2015-10-05;1;10;1;34.77;1;0;10525.6;22804.9;10070.399999999998;305.32;3714;4909;1
2015-10-05;2;10;1;31.19;-1;0;10859.0;21645.1;10070.399999999998;234.68;3714;4909;1
2015-10-05;3;10;1;26.65;0;0;10917.8;20968.2;10070.399999999998;249.81;3714;4909;1
2015-10-05;4;10;1;26.43;0;1;10846.3;20749.0;10070.399999999998;312.29;3714;4909;1
2015-10-05;5;10;1;26.0;0;1;11018.7;20617.6;10070.399999999998;269.53;3714;4909;1
2015-10-05;6;10;1;26.35;0;1;11000.8;21308.4;10070.399999999998;248.33;3714;4909;1
2015-10-05;7;10;1;36.5;0;1;10950.0;23638.9;10070.399999999998;252.38;3714;4909;1
2015-10-05;8;10;1;44.0;0;1;11032.2;27673.4;10070.399999999998;235.5;3714;4909;1
2015-10-05;9;10;1;46.69;0;1;11021.6;29685.4;10070.399999999998;207.29;3714;4909;1
2015-10-05;10;10;1;53.01;-1;1;10965.6;30894.2;10070.399999999998;236.64;3714;4909;1
2015-10-05;11;10;1;51.56;1;1;11034.1;31631.0;10070.399999999998;262.9;3714;4909;1
2015-10-05;12;10;1;49.16;1;1;11676.7;32442.0;10070.399999999998;317.74;3714;4909;1
2015-10-05;13;10;1;46.6;1;1;12225.8;32752.3;10070.399999999998;326.5;3714;4909;1
2015-10-05;14;10;1;45.97;-1;1;12788.9;32608.2;10040.7;343.6;3714;4909;1
2015-10-05;15;10;1;43.42;1;1;13017.9;30994.0;10040.7;343.43;3714;4909;1
2015-10-05;16;10;1;40.97;-1;1;13517.4;30093.9;10040.7;374.39;3714;4909;1
2015-10-05;17;10;1;41.38;-1;1;13313.5;29993.4;10060.7;365.24;3714;4909;1
2015-10-05;18;10;1;44.0;0;1;12992.9;29970.6;10060.7;380.46;3714;4909;1
2015-10-05;19;10;1;44.47;0;1;12714.7;29964.9;10060.7;333.03;3714;4909;1
2015-10-05;20;10;1;48.01;0;1;12528.0;30579.7;10060.7;364.46;3714;4909;1
2015-10-05;21;10;1;55.93;0;1;12419.7;32872.0;10060.7;379.59;3714;4909;1
2015-10-05;22;10;1;52.0;0;1;12442.3;32428.1;10060.7;384.53;3714;4909;1
